Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
,,,58.500000,-34.100000,0.000000,top
C1,100n,C_0402_1005Metric,42.448198,-50.697176,180.000000,top
C2,100n,C_0402_1005Metric,47.343198,-43.054676,0.000000,top
C3,10u,C_0603_1608Metric,47.338198,-41.604676,0.000000,top
C4,10n,C_0402_1005Metric,45.093198,-51.264676,-90.000000,top
C5,1u,C_0603_1608Metric,47.548198,-54.777176,-90.000000,top
C6,1u,C_0603_1608Metric,49.738198,-54.742176,-90.000000,top
C7,100n,C_0402_1005Metric,43.313198,-52.294676,180.000000,top
C8,22u,C_1206_3216Metric,55.943198,-48.234676,180.000000,top
C9,22u,C_1206_3216Metric,50.968198,-42.034676,-90.000000,top
C10,22n,C_0603_1608Metric,52.613198,-51.619676,-90.000000,top
C11,22u,C_1206_3216Metric,54.068198,-54.784676,0.000000,top
C12,10u,C_0603_1608Metric,42.023198,-37.009676,0.000000,top
C13,100n,C_0402_1005Metric,42.068198,-38.509676,0.000000,top
C14,100n,C_0402_1005Metric,40.068198,-38.509676,180.000000,top
C15,10u,C_0603_1608Metric,52.225000,-59.500000,0.000000,top
D1,LED,LED_0603_1608Metric,68.762500,-36.175000,0.000000,top
D2,D_Schottky,D_SOD-123,61.500000,-45.150000,-90.000000,top
FB1,120R,Fuse_1206_3216Metric,48.703198,-51.744676,0.000000,top
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,69.143198,-53.134676,90.000000,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,32.743198,-47.284676,0.000000,top
J3,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,46.193198,-34.534676,90.000000,top
J4,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",67.667500,-45.250000,90.000000,top
MIC1,B4013AM423-093,MIC-SMD_BD4.0_B4013AM423-093-1,50.295400,-62.295400,0.000000,top
R1,10k,R_0402_1005Metric,36.453198,-39.834676,0.000000,top
R2,1k5,R_0402_1005Metric,65.420000,-36.180000,180.000000,top
R3,100,R_0402_1005Metric,54.093198,-52.004676,90.000000,top
R4,330,R_0402_1005Metric,55.363198,-52.024676,-90.000000,top
R5,10k,R_0402_1005Metric,46.653198,-39.834676,180.000000,top
R6,10k,R_0402_1005Metric,44.403198,-39.834676,0.000000,top
R7,2k2,R_0402_1005Metric,49.250000,-59.010000,90.000000,top
R8,1200,R_0402_1005Metric,46.750000,-58.990000,90.000000,top
R9,2000,R_0402_1005Metric,48.000000,-58.990000,90.000000,top
SW1,SW_SPDT,SW_SPDT_PCM12,32.818198,-39.084676,-90.000000,top
U1,STM32L432KBU6,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,44.780698,-46.884676,90.000000,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,55.918198,-42.084676,270.000000,top
U3,~,LIS2DW12_LGA-12,40.728198,-41.039676,0.000000,top
U4,USBLC6-2SC6,SOT-23-6,61.043198,-53.392176,0.000000,top
